what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1424485193000
java.vendor,sysinfo,,,"Apple Inc.",1424485193000
java.version,sysinfo,,,"1.6.0_65",1424485193000
java.vm.info,sysinfo,,,"mixed mode",1424485193000
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1424485193000
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424485193000
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424485193000
java.vm.specification.version,sysinfo,,,"1.0",1424485193000
java.vm.vendor,sysinfo,,,"Apple Inc.",1424485193000
java.vm.version,sysinfo,,,"20.65-b04-466.1",1424485193000
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1424485201648
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1424485201655
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1424485201671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424485208280
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1424485232928
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1424485232940
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1424485232945
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1424485295754
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1424485295756
started,bundle,org.eclipse.jst.servlet.ui,1.1.405.v201104141500,"org.eclipse.jst.servlet.ui",1424485295998
started,bundle,org.eclipse.wst.jsdt.core,1.1.5.v201104272136,"org.eclipse.wst.jsdt.core",1424485296078
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1424485296139
started,bundle,org.eclipse.wst.jsdt.ui,1.1.5.v201104070556,"org.eclipse.wst.jsdt.ui",1424485296139
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1424485296168
started,bundle,org.eclipse.wst.common.modulecore,1.2.6.v201103310300,"org.eclipse.wst.common.modulecore",1424485296170
started,bundle,org.eclipse.jst.j2ee.core,1.2.5.v201104261700,"org.eclipse.jst.j2ee.core",1424485296173
started,bundle,org.eclipse.jem,2.0.401.v201104271300,"org.eclipse.jem",1424485296180
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1424485296193
started,bundle,org.eclipse.wst.xml.core,1.1.504.v201104070043,"org.eclipse.wst.xml.core",1424485296194
started,bundle,org.eclipse.wst.validation,1.2.202.v201103212041,"org.eclipse.wst.validation",1424485296200
started,bundle,org.eclipse.jst.j2ee,1.1.405.v201104141500,"org.eclipse.jst.j2ee",1424485296214
started,bundle,org.eclipse.jst.jee.ui,1.0.305.v201105110300,"org.eclipse.jst.jee.ui",1424485296215
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1424485296230
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1424485398851
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1424485398854
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1424485404329
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1424485404331
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1424485404332
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1424485404365
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1424485404400
opened,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.tasks",1424485404598
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1424485404637
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1424485404640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424485404698
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1424485407940
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1424485418431
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1424485418431
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1424485420139
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1424485420142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424485430005
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1424485499995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424485500760
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424485501364
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424485501451
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1424485501874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424485655255
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1424486004824
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1424486013214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424486016205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424486017660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424486117405
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1424486321018
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424486323184
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424486380185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487284155
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424487491140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424487516018
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424487542781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487552888
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487600804
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1424487605366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487610929
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487667123
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424487667327
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424487667408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487676418
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487829119
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424487831031
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424487832207
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424487833534
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424487835615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487854023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487876464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487886393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487887551
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424487898731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487906369
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487908198
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487924616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487926169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487928399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487931192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487936136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487938649
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487946807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487948683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487973499
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424487973632
error,log,,,"Unhandled event loop exception",1424487973712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1424487981766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424488000619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1424488002922
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1424488003241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1424488003575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1424488003914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1424488009147
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424488011083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424488024654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488036258
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488041204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488045239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488052861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488088462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488088597
error,log,,,"Unhandled event loop exception",1424488088677
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424488116817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488120194
