what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"cocoa",1424495681035
locale,sysinfo,,,"en_US",1424495681035
processors,sysinfo,,,"8",1424495681035
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1424495681035
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1424495681035
java.specification.name,sysinfo,,,"Java Platform API Specification",1424495681035
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424495681035
java.specification.version,sysinfo,,,"1.6",1424495681035
java.vendor,sysinfo,,,"Apple Inc.",1424495681035
java.version,sysinfo,,,"1.6.0_65",1424495681035
java.vm.info,sysinfo,,,"mixed mode",1424495681035
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1424495681035
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424495681035
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424495681035
java.vm.specification.version,sysinfo,,,"1.0",1424495681035
java.vm.vendor,sysinfo,,,"Apple Inc.",1424495681035
java.vm.version,sysinfo,,,"20.65-b04-466.1",1424495681035
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424495695461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424495699428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424495702312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424495711040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424495714402
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1424495717161
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1424495721847
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1424495725316
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1424495725345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424495725372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424495727898
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1424495727962
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1424495728021
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424495728060
started,bundle,org.eclipse.wst.server.core,1.1.207.v20110401_1511,"org.eclipse.wst.server.core",1424495735707
started,bundle,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui",1424495735722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424495735763
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1424495735921
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424495736472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424495744708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424495777231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424495779932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424495906533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424495907482
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1424496676314
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424496676401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424496677754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424496679176
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424496679372
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1424496679704
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1424496679939
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1424496679940
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1424496679942
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1424496679943
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1424496679944
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1424496679946
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1424496679947
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1424496679948
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1424496679950
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1424496679951
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1424496679952
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1424496679954
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1424496679956
